"","Current or provisional name","Name used in publication","Collected as","Collection Number (PTM)","UBC Accession #","Genbank Number","Collection Date","Habitat","Site #","Notes","PSBA.Accession","COI.5P.Accession","rbcL.Accession"
"25","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1057,"A92027","MK567584  ","July 6, 2014","subtidal, 10.1 m",3,"quad 6-sample 4; on rock; voucher in bag","MK567584","",""
"26","Bossiella schmittii","Bossiella schmittii","Bossiella schmittii",1058,"A92028","MK567544  ","July 7, 2014","subtidal, 13.3m",1,"quad 1-sample 1; on rock/bryozoan","MK567544","",""
"27","Crusticorallina muricata","Crusticorallina muricata","Coralline crust",1059,"A91405","MK567571  ","July 7, 2014","subtidal, 13.3m",1,"quad 1-sample 2; on bryozoan","MK567571","",""
"28","Crusticorallina muricata","Crusticorallina muricata","Coralline crust",1060,"A91406","MK567617  ","July 7, 2014","subtidal, 13.3m",1,"quad 1-sample 3; on bryozoan","MK567617","",""
"29","Crusticorallina painei","Crusticorallina painei","Coralline crust",1061,"A92029","MK567618  ","July 7, 2014","subtidal, 13.3m",1,"quad 1-sample 4; on shell material","MK567618","",""
"30","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1062,"A92030","MK567607  ","July 7, 2014","subtidal, 13.3m",1,"quad 1-sample 5;very dirty; on bryozoan colony","MK567607","",""
"31","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1063,"A92031","MK567565  ","July 7, 2014","subtidal 13.8 m",1,"on bryozoan (not in quad); shelf-like; voucher in bag","MK567565","",""
"32","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1064,"A92032","MK567541  ","July 7, 2014","subtidal 13.8 m",1,"on bryozoan (not in quad); shelf-like; voucher in bag","MK567541","",""
"33","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1065,"A92033","MK567610  ","July 7, 2014","subtidal, 13.2m",1,"quad 2-sample 1a; on bryozoan; voucher in bag","MK567610","",""
"34","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1066,"A92034","MK567585  ","July 7, 2014","subtidal, 13.2m",1,"quad 2-sample 1b; on bryozoan; voucher in bag","MK567585","",""
"35","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1067,"A92035","MK567620  ","July 7, 2014","subtidal, 13.2m",1,"quad 2-sample 2; on bryozoan","MK567620","",""
"36","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1068,"A92036","MK567590  ","July 7, 2014","subtidal, 13.2m",1,"quad 2-sample 3; on kelp stipe","MK567590","",""
"37","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1069,"A92037"," MK590039 ","July 7, 2014","subtidal, 13.7 m",1,"quad 3-sample 1; on rock","","MK590039",""
